timestamp,stock_price,call_price,put_price,delta_call,delta_put,gamma,vega,trans_cost_buy_call,trans_cost_sell_call,trans_cost_buy_put,trans_cost_sell_put
2021-05-19,121.767632,25.287926,1.540162,0.88193629,-0.11806371,0.00812,24.080275,0.025288,0.025288,0.00154,0.00154
2021-05-20,124.326233,27.569769,1.263404,0.90124779,-0.09875221,0.006993,21.619683,0.02757,0.02757,0.001263,0.001263
2021-05-21,122.49028,25.927347,1.456934,0.88768483,-0.11231517,0.007791,23.378618,0.025927,0.025927,0.001457,0.001457
2021-05-24,124.12114,27.385077,1.283805,0.89980464,-0.10019536,0.00708,21.814115,0.027385,0.027385,0.001284,0.001284
2021-05-25,123.925842,27.209483,1.303508,0.89841391,-0.10158609,0.007163,21.999792,0.027209,0.027209,0.001304,0.001304
2021-05-26,123.876999,27.16561,1.308478,0.89806357,-0.10193643,0.007183,22.046308,0.027166,0.027166,0.001308,0.001308
2021-05-27,122.343803,25.797406,1.47347,0.88653882,-0.11346118,0.007857,23.520496,0.025797,0.025797,0.001473,0.001473
2021-05-28,121.689514,25.219056,1.549409,0.88130055,-0.11869945,0.008156,24.156356,0.025219,0.025219,0.001549,0.001549
2021-06-01,121.367241,24.935463,1.588089,0.87864785,-0.12135215,0.008306,24.470632,0.024935,0.024935,0.001588,0.001588
2021-06-02,122.12896,25.607121,1.498028,0.88484034,-0.11515966,0.007954,23.728926,0.025607,0.025607,0.001498,0.001498
2021-06-03,120.644577,24.302694,1.677984,0.87252185,-0.12747815,0.008649,25.177247,0.024303,0.024303,0.001678,0.001678
2021-06-04,122.939514,26.326905,1.407258,0.89113962,-0.10886038,0.00759,22.944733,0.026327,0.026327,0.001407,0.001407
2021-06-07,122.949265,26.335594,1.406197,0.89121361,-0.10878639,0.007586,22.935338,0.026336,0.026336,0.001406,0.001406
2021-06-08,123.769569,27.069173,1.319471,0.8972894,-0.1027106,0.007229,22.148726,0.027069,0.027069,0.001319,0.001319
2021-06-09,124.150429,27.411435,1.280873,0.90001182,-0.09998818,0.007067,21.786313,0.027411,0.027411,0.001281,0.001281
2021-06-10,123.154343,26.518521,1.384046,0.8927601,-0.1072399,0.007496,22.737968,0.026519,0.026519,0.001384,0.001384
2021-06-11,124.365288,27.604973,1.259552,0.9015206,-0.0984794,0.006977,21.582725,0.027605,0.027605,0.00126,0.00126
2021-06-14,127.42189,30.391229,0.989206,0.92097596,-0.07902404,0.00578,18.76819,0.030391,0.030391,0.000989,0.000989
2021-06-15,126.601624,29.637761,1.056005,0.91611053,-0.08388947,0.006085,19.506897,0.029638,0.029638,0.001056,0.001056
2021-06-16,127.099648,30.094753,1.014973,0.91909442,-0.08090558,0.005898,19.056797,0.030095,0.030095,0.001015,0.001015
2021-06-17,128.701172,31.57402,0.892715,0.92807665,-0.07192335,0.005326,17.64399,0.031574,0.031574,0.000893,0.000893
2021-06-18,127.402435,30.373312,0.990744,0.92086344,-0.07913656,0.005787,18.785554,0.030373,0.030373,0.000991,0.000991
2021-06-21,129.19928,32.036956,0.857544,0.93068727,-0.06931273,0.005157,17.216047,0.032037,0.032037,0.000858,0.000858
2021-06-22,130.839874,33.570534,0.750528,0.93870829,-0.06129171,0.004629,15.84789,0.033571,0.033571,0.000751,0.000751
2021-06-23,130.566452,33.314045,0.76746,0.93743111,-0.06256889,0.004714,16.071374,0.033314,0.033314,0.000767,0.000767
2021-06-24,130.283249,33.048752,0.78537,0.93608357,-0.06391643,0.004803,16.304794,0.033049,0.033049,0.000785,0.000785
2021-06-25,129.990311,32.774744,0.804301,0.93466291,-0.06533709,0.004897,16.548292,0.032775,0.032775,0.000804,0.000804
2021-06-28,131.62114,34.305303,0.704031,0.94223168,-0.05776832,0.004393,15.219628,0.034305,0.034305,0.000704,0.000704
2021-06-29,133.134796,35.736383,0.621454,0.94855059,-0.05144941,0.003963,14.047,0.035736,0.035736,0.000621,0.000621
2021-06-30,133.750076,36.320747,0.590538,0.95093765,-0.04906235,0.003798,13.587544,0.036321,0.036321,0.000591,0.000591
2021-07-01,134.052811,36.608801,0.575858,0.95207536,-0.04792464,0.003719,13.365181,0.036609,0.036609,0.000576,0.000576
2021-07-02,136.679794,39.121966,0.462039,0.96099522,-0.03900478,0.003088,11.539283,0.039122,0.039122,0.000462,0.000462
2021-07-06,138.691467,41.061131,0.389531,0.96677738,-0.03322262,0.002669,10.267174,0.041061,0.041061,0.00039,0.00039
2021-07-07,141.181717,43.476439,0.314589,0.97284703,-0.02715297,0.002218,8.841657,0.043476,0.043476,0.000315,0.000315
2021-07-08,139.882889,42.214811,0.351789,0.96982151,-0.03017849,0.002444,9.56483,0.042215,0.042215,0.000352,0.000352
2021-07-09,141.709061,43.989768,0.300575,0.9739937,-0.0260063,0.002131,8.560475,0.04399,0.04399,0.000301,0.000301
2021-07-12,141.113327,43.409911,0.316451,0.97269496,-0.02730504,0.002229,8.878644,0.04341,0.04341,0.000316,0.000316
2021-07-13,142.226639,44.494168,0.287396,0.97507555,-0.02492445,0.002049,8.29138,0.044494,0.044494,0.000287,0.000287
2021-07-14,145.654327,47.847475,0.213015,0.98125236,-0.01874764,0.001573,6.67528,0.047847,0.047847,0.000213,0.000213
2021-07-15,145.000046,47.205802,0.225624,0.98019626,-0.01980374,0.001656,6.962129,0.047206,0.047206,0.000226,0.000226
2021-07-16,142.959061,45.208874,0.269681,0.97653551,-0.02346449,0.001938,7.922076,0.045209,0.045209,0.00027,0.00027
2021-07-19,139.111374,41.46732,0.375814,0.96788092,-0.03211908,0.002588,10.01534,0.041467,0.041467,0.000376,0.000376
2021-07-20,142.724655,44.980022,0.275234,0.9760771,-0.0239229,0.001973,8.038815,0.04498,0.04498,0.000275,0.000275
